ID,sc1,sc2,sc3,sc4
1,,3,3,2
2,2,2,,2
3,2,,2,2
4,,3,3,3
5,2,1,,2
6,1,,2,2
7,3,,3,3
8,1,1,2,
9,1,2,1,
10,,2,2,2
11,2,2,2,
12,,3,3,3
13,,3,2,2
14,3,2,2,
15,2,2,2,
16,,2,1,2
17,,3,1,2
18,3,3,1,
19,3,3,,2
20,3,3,,2
21,,3,2,2
22,1,,2,2
23,2,2,,2
24,2,2,1,
25,2,2,,1
26,2,,1,1
27,2,,1,2
28,2,2,,1
29,3,3,1,
30,3,,3,2
31,,2,1,2
32,1,1,1,
33,1,,2,2
34,2,2,,1
35,2,2,,1
36,,2,3,2
37,3,3,,3
38,3,3,,2
39,2,2,,2
40,2,2,,2
41,2,1,1,
42,1,,2,2
43,3,,3,3
44,1,1,1,
45,0,0,,0
46,1,,1,1
47,1,2,,2
48,,1,1,1
49,1,1,2,
50,3,,3,3
51,4,3,1,
52,,2,1,2
53,2,2,,3
54,2,,3,3
55,1,1,1,
56,3,2,,2
57,3,,2,2
58,,3,3,3
59,3,,2,2
60,,2,2,2
61,2,2,2,
62,2,,1,1
63,2,2,2,
64,,3,1,2
65,2,2,1,
66,,2,1,1
67,,3,3,3
68,2,2,3,
69,2,,2,2
70,2,,2,2
71,,2,3,3
72,2,,1,2
73,,0,0,0
74,2,2,,3
75,3,,4,4
76,,3,2,2
77,3,,3,3
78,2,3,,2
79,,2,1,1
80,2,,1,2
81,2,2,,2
82,3,2,,3
83,,2,3,3
84,,2,2,3
85,2,,1,1
86,3,,2,3
87,1,2,,2
88,3,2,3,
89,,2,1,1
90,3,2,,2
91,3,,4,4
92,3,,5,5
93,2,2,2,
94,,0,0,0
95,,3,4,4
96,3,3,3,
97,1,2,2,
98,3,,4,4
99,3,2,,3
100,2,2,,2
101,2,,2,2
102,,3,3,3
103,2,2,2,
104,3,3,3,
